#JCAT	Piece	Name	Owner	State	World	Lon	Lat	LType	Status	LaunchDate	LandDate	OffDate	Dur	LSite	Comment
# Updated 2025 Aug  5 0444:49
D00391	1971-063	A7LB-315 PLSS	MSC	US	Luna	    3.6333	   26.1233	C	LC	1971 Jul 26 1334:00	1971 Jul 30 2216:29	1971 Aug  2 1711:23	    2.788 	-	Spacesuit backpack
D00393	1971-063	Apollo 15 ALSEP	MSC	US	Luna	    3.6285	   26.1341	C	LC	1971 Jul 26 1334:00	1971 Jul 30 2216:29	1977 Sep 30	 2253.000 	-	Experiment package
D00394	1971-063	LRV-1	MSC	US	Luna	    3.6333	   26.1233	RO	LC	1971 Jul 26 1334:00	1971 Jul 30 2216:29	1971 Aug  2 1711:23	    2.788 	-	Lunar Roving Vehicle
D01063	1971-U02	Falcon	MSC	US	Luna	    0.267	   26.327	AV	I	1971 Aug  2 1711:23	1971 Aug  3 0303:36	1971 Aug  3 0303:36	    0.000 	-	Empty ascent vehicle, deorbited
D00405	1971-073A	Luna-18 KT (E-8-5 No. 407)	IKI	SU	Luna	   56.50	    3.57	L	I	1971 Sep  2 1340:40	1971 Sep 11 0747:16	1971 Sep 11 0747:16	    0.000 	-	Sample return mission, crashed.
D00409	1971-073A	Luna-18 VA	IKI	SU	Luna	   56.50	    3.57	AV	LC	1971 Sep  2 1340:40	1971 Sep 11 0747:16	1971 Sep 11 0747:16	    0.000 	-	Return vehicle, attached to Luna-18
D00410	1971-073	Luna-18 VS	IKI	SU	Luna	   56.50	    3.57	AV	LC	1971 Sep  2 1340:40	1971 Sep 11 0747:16	1971 Sep 11 0747:16	    0.000 	-	Return capsule, attached to Luna-18
D00369	1971-045D	SA Marsa-2	IKI	SU	Mars	 -313.2	  -44.2	LP	I	1971 May 19 1622:44	1971 Nov 27 2022	1971 Nov 27 2022	    0.000 	-	Mars lander
D00371	1971-045	TDU Marsa-2	IKI	SU	Mars	 -313.2	  -44.2	C	I	1971 May 19 1622:44	1971 Nov 27 2022	1971 Nov 27 1608?	    0.000 	-	Motor
D00372	1971-045	Teplovoy Ekran	IKI	SU	Mars	 -313.2	  -44.2	C	I	1971 May 19 1622:44	1971 Nov 27 2022?	1971 Nov 27 2019?	    0.000 	-	Heat shield
D00373	1971-045	DMP	IKI	SU	Mars	 -313.2	  -44.2	C	I	1971 May 19 1622:44	1971 Nov 27 2022	1971 Nov 27 2022	    0.000 	-	Motor
